38913,2
38914,2
39941,1
8,2
921,2
39313,2
22,2
1047,2
42009,1
1050,2
42011,2
28,2
30,2
40991,1
34,1
36,1
37,1
1064,1
41,2
519,2
1068,2
41138,1
48,2
38961,2
1074,1
51,2
38409,2
1080,1
1084,2
61,1
1087,1
64,2
1090,2
67,2
1092,2
1093,2
70,2
38985,1
1098,1
1099,2
1100,2
77,2
505,1
86,1
39002,2
39003,2
1122,1
1124,2
38909,1
39442,2
39026,1
41076,2
1141,1
39489,2
39033,2
41152,1
1155,2
132,2
39046,1
23,1
141,2
41105,1
1171,2
149,2
41111,2
38426,2
158,2
41120,2
163,2
1189,2
38911,2
40988,2
39453,1
41137,2
178,2
41139,2
180,2
1029,1
189,2
191,2
192,2
41153,1
195,1
196,2
1221,1
41159,1
201,2
205,2
39118,1
213,2
41176,1
1241,2
1243,2
41180,2
41191,1
232,2
233,2
41194,1
1261,1
239,2
242,2
41207,2
39160,2
250,2
251,2
41212,1
254,2
41173,1
1281,2
39468,2
216,2
564,2
39190,2
279,2
41242,2
559,1
284,2
39197,2
41247,2
41249,1
290,2
291,2
292,2
39207,2
296,2
39210,2
391,1
41260,2
39215,2
304,2
38792,1
308,2
38452,1
315,2
567,2
397,1
1361,2
1362,2
1363,2
1364,1
1365,1
1366,2
1367,2
344,2
345,2
1370,2
41309,2
40281,2
39269,2
41318,1
40295,1
40297,1
41323,1
41324,2
365,2
41327,1
38262,2
376,1
1401,2
381,2
41305,2
383,2
389,2
38279,1
38407,2
41353,1
395,2
41357,2
41358,1
237,1
400,2
401,2
642,2
404,2
405,2
41881,2
40344,1
68,2
413,2
415,2
38304,2
421,2
424,1
430,2
40371,1
40372,1
437,2
39350,2
41400,1
41401,2
40378,1
41404,2
445,2
38334,2
447,2
38337,2
41410,2
38340,1
453,1
40391,2
41418,1
459,2
41420,1
461,2
39374,2
41208,2
466,1
467,2
39380,2
469,2
2520,1
40409,2
69,2
476,2
40698,1
41479,2
38377,2
40426,1
493,1
496,2
766,2
503,1
39417,2
39225,1
38395,1
510,2
512,1
39426,2
517,1
41478,1
40455,2
38408,2
39433,2
523,2
525,2
39439,2
40464,2
38418,1
38318,1
538,1
38429,1
2507,1
40492,1
545,2
39465,2
555,2
257,2
40493,1
40494,2
38447,1
41524,2
39477,2
38454,2
2615,1
39481,2
2655,2
573,2
577,2
39491,2
39492,2
2486,1
582,2
39495,2
584,1
587,2
592,2
2488,1
596,1
38329,1
602,2
40541,1
41566,1
41567,1
608,2
609,2
1634,2
613,2
614,2
38960,2
38391,2
618,2
621,2
622,2
38517,1
157,2
1650,2
1651,2
629,1
40566,1
1655,1
40569,1
1658,1
1659,2
636,2
40574,1
38528,1
641,2
38530,2
635,2
38532,2
38533,2
38534,2
648,2
38538,2
40587,1
38541,2
658,2
38547,2
90,2
662,2
1687,2
667,2
2717,2
670,2
41925,1
672,2
679,2
40617,1
41415,1
38578,2
692,1
38857,1
38584,2
1140,2
699,2
700,2
1653,2
175,2
38859,2
708,1
630,2
710,2
289,2
712,2
40567,1
724,2
462,1
727,2
41252,1
41690,1
38522,2
976,2
739,2
742,2
38521,2
40681,1
39169,2
39476,2
753,2
754,2
38526,2
756,2
757,2
40697,1
762,2
763,1
765,1
605,2
767,1
768,2
773,2
774,2
39041,1
778,1
39554,2
39694,2
39696,2
785,2
39698,2
38531,1
39700,2
790,2
791,1
1369,2
606,2
797,1
39712,2
39714,2
39715,2
39716,2
40744,2
810,1
811,2
41217,1
814,2
823,2
39740,2
830,2
39747,2
836,1
38725,2
841,2
994,2
38734,2
847,2
38738,1
995,2
854,2
39767,2
38745,2
859,1
860,2
866,1
41834,1
38764,2
877,2
878,1
2490,2
38718,2
38774,1
887,1
891,1
38781,2
38782,2
38784,2
41859,1
1686,2
40839,1
904,2
906,2
38795,2
38797,2
39822,2
41871,1
41873,2
914,2
915,1
919,2
920,1
38724,2
922,2
40921,2
926,2
39839,2
39840,1
39841,1
440,1
932,1
38897,2
940,2
943,2
1182,2
950,2
41912,2
40889,2
960,2
748,2
41926,1
41927,2
969,1
886,2
971,2
974,2
38863,2
38864,1
979,2
38868,2
982,2
38393,1
41944,2
985,2
38875,2
38882,1
40931,2
715,1
999,2
38888,2
1003,2
1004,2
1007,2
1008,2
1009,2
38898,2
339,2
38900,1
40949,2
40950,1
40951,1
1019,2
40957,2
1022,1
1023,2
